Date,Open,High,Low,Close,Adj Close,Volume
2016-02-10,132.059998,133.919998,131.800003,133.029999,133.029999,26628310
2016-02-11,132.869995,133.080002,129.309998,130.490005,130.490005,44068540
2016-02-12,131.169998,132.229996,130.710007,131.300003,131.300003,27049420
2016-02-15,132.009995,133.899994,132.009995,133.429993,133.429993,24469030
2016-02-16,134.500000,136.449997,133.949997,135.850006,135.850006,49326570
2016-02-17,135.500000,137.199997,135.050003,137.100006,137.100006,31349980
2016-02-18,137.399994,138.899994,137.110001,138.000000,138.000000,31976900
2016-02-19,137.289993,137.289993,135.619995,136.899994,136.899994,25520350
2016-02-22,136.990005,139.949997,136.619995,139.899994,139.899994,19289610
2016-02-24,138.559998,138.750000,136.250000,137.149994,137.149994,27752530
2016-02-25,137.699997,139.460007,135.550003,137.970001,137.970001,35448000
2016-02-26,138.800003,139.979996,138.000000,138.669998,138.669998,32716070
2016-02-29,137.889999,141.520004,137.500000,141.399994,141.399994,37875470
2016-03-01,141.889999,142.750000,140.850006,142.000000,142.000000,30244550
2016-03-02,142.600006,143.070007,139.750000,140.139999,140.139999,27393890
2016-03-03,140.610001,144.500000,140.500000,144.500000,144.500000,48742420
2016-03-04,144.600006,146.160004,143.759995,146.160004,146.160004,33614689
2016-03-07,146.860001,150.149994,146.639999,150.149994,150.149994,28025460
2016-03-09,149.020004,149.929993,146.070007,147.429993,147.429993,47120710
2016-03-10,148.039993,148.559998,146.160004,146.940002,146.940002,31374500
2016-03-11,147.009995,147.199997,143.600006,144.300003,144.300003,36112430
2016-03-14,144.470001,144.710007,141.910004,143.199997,143.199997,28152680
2016-03-15,143.399994,144.449997,142.059998,142.539993,142.539993,46960220
2016-03-16,142.990005,144.750000,142.720001,144.750000,144.750000,23949860
2016-03-17,145.610001,147.399994,145.080002,147.270004,147.270004,47202490
2016-03-18,147.220001,150.740005,146.559998,150.649994,150.649994,52467360
2016-03-21,149.570007,149.919998,147.750000,149.899994,149.899994,40916030
2016-03-22,149.990005,150.639999,147.800003,149.619995,149.619995,37412010
2016-03-23,149.139999,149.529999,145.070007,146.000000,146.000000,32433570
2016-03-24,145.199997,145.949997,144.490005,145.800003,145.800003,24605060
2016-03-25,146.300003,146.889999,145.820007,146.039993,146.039993,7642310
2016-03-28,146.520004,147.500000,144.600006,145.100006,145.100006,13124070
2016-03-29,144.750000,145.160004,142.860001,144.699997,144.699997,24668120
2016-03-30,145.210007,149.089996,144.520004,147.800003,147.800003,34382560
